,b'\x83{\x81[\x83\x8a\x83\x93\x83O',b'PL\x8b\xe6\x95\xaa',recoords
7965,39623,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15557590.674376428, 4258873.558707339]]"
7966,39624,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15557281.452407029, 4258873.559179151]]"
7967,39678,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15557423.694460742, 4258867.466895233]]"
7968,39679,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15557702.921990125, 4258878.508422246]]"
7969,39680,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15557949.681159591, 4258886.123127195]]"
7970,39681,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15558247.461079488, 4258760.85477353]]"
7971,39682,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15558250.24089393, 4258252.182705216]]"
7972,39683,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15558252.71588066, 4258445.977816584]]"
7973,39684,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15558315.180705445, 4258774.561771731]]"
7974,39685,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15558276.83747556, 4258806.925687214]]"
7975,39686,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15558230.144933939, 4258816.063878012]]"
7976,39687,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15557856.601204691, 4258240.380592579]]"
7977,39688,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15558074.294504873, 4258391.913140038]]"
7978,39689,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15558043.37222099, 4258391.913231479]]"
7979,39701,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15556291.935461579, 4257845.570102346]]"
7980,39709,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15557095.913066167, 4257921.712819569]]"
7981,39727,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15557157.758453008, 4258074.002616835]]"
7982,39736,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15556106.404026693, 4258112.07721136]]"
7983,39806,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15556879.463370634, 4258797.4089981625]]"
7984,39810,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15557126.841254434, 4258835.484010061]]"
7985,39820,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15556663.008837271, 4258911.635776054]]"
7986,39831,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15556102.073419653, 4257882.500211035]]"
7987,39836,b'\x91\xe5\x81iPL\x81\x8615\x81j',"[[15556324.714391591, 4258066.008798367]]"
7988,39866,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15556346.67480465, 4258919.251271422]]"
7989,39867,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15556015.80425305, 4258454.3577568745]]"
7990,39868,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15556274.005271688, 4258561.726629087]]"
7991,39869,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15556412.846351625, 4258623.407160604]]"
7992,39870,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15556753.609743945, 4258754.764963666]]"
7993,39871,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15557147.24990534, 4258832.437953404]]"
7994,39872,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15556522.003931312, 4258955.423060014]]"
7995,39904,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15555271.81245528, 4257883.643937857]]"
7996,39937,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15554869.825329887, 4258112.079373735]]"
7997,39945,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15555828.413707247, 4258150.150570128]]"
7998,39946,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15555333.658544572, 4258150.151412543]]"
7999,39954,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15555209.970051832, 4258188.224720021]]"
8000,39991,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15555828.41519741, 4258378.590984213]]"
8001,39992,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15555673.804237628, 4258378.591152459]]"
8002,39993,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15555395.504438844, 4258378.591708416]]"
8003,39994,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15554993.515929693, 4258378.592478544]]"
8004,40013,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15555581.038879694, 4258568.961930424]]"
8005,40015,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15555117.205964372, 4258568.962801826]]"
8006,40023,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15554931.673530942, 4258683.186962369]]"
8007,40026,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15555766.264104236, 4258759.335478494]]"
8008,40169,b'\x91\xe5\x81iPL\x81\x8615\x81j',"[[15555762.54824505, 4257971.209063468]]"
8009,40170,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15555807.078852931, 4258377.448784161]]"
8010,40171,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15555526.304680748, 4258276.934935882]]"
8011,40172,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15555645.355460746, 4258323.003611789]]"
8012,40173,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15555786.361013727, 4258369.834022999]]"
8013,40174,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15555125.240390133, 4257751.915582235]]"
8014,40175,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15555097.410757387, 4257810.926811614]]"
8015,40176,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15554896.417818265, 4258018.4205634855]]"
8016,40177,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15555767.186373267, 4257933.898227782]]"
8017,40178,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15555600.5210704, 4258734.5869554635]]"
8018,40179,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15555847.894043008, 4258049.257547075]]"
8019,40180,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15555909.738717401, 4258087.33024315]]"
8020,40181,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15555847.894274658, 4258087.3302758625]]"
8021,40182,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15555909.738917345, 4258125.402979948]]"
8022,40187,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15553663.857446829, 4257769.431404087]]"
8023,40190,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15554498.757258356, 4257845.573421005]]"
8024,40192,b'\x91\xe5\x81iPL\x81\x8615\x81j',"[[15554313.226073595, 4258150.153367859]]"
8025,40194,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15554653.370409377, 4258188.225871973]]"
8026,40199,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15553632.938877815, 4258340.5213319855]]"
8027,40201,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15554127.694357071, 4258378.594106388]]"
8028,40203,b'\x91\xe5\x81iPL\x81\x8615\x81j',"[[15553849.394594042, 4258378.594584856]]"
8029,40208,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15554684.295486655, 4258607.038090214]]"
8030,40209,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15553849.396148795, 4258607.03956046]]"
8031,40210,b'\x91\xe5\x81iPL\x81\x8615\x81j',"[[15553663.8632219, 4258645.114565725]]"
8032,40212,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15554034.929819902, 4258683.188599504]]"
8033,40215,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15554529.686290339, 4258873.56362037]]"
8034,40518,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15554582.253828721, 4258852.241299275]]"
8035,40519,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15554000.604996147, 4258503.0962246135]]"
8036,40520,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15553979.578120349, 4258538.124617543]]"
8037,40521,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15554002.153023027, 4258795.510103612]]"
8038,40522,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15554098.317420093, 4258250.286215335]]"
8039,40523,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15554025.654127352, 4258825.970164506]]"
8040,40524,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15553993.494845115, 4258797.033085766]]"
8041,40525,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15553979.580053521, 4258833.966131284]]"
8042,40526,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15553974.323506312, 4258861.38038584]]"
8043,40527,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15553931.65095599, 4258879.276024561]]"
8044,40528,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15553918.354038686, 4258823.685899617]]"
8045,40529,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15553533.371666368, 4258669.482589291]]"
8046,40530,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15554012.355928566, 4258585.717516774]]"
8047,40531,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15554008.026734104, 4258571.629955128]]"
8048,40532,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15553447.40227241, 4257807.503664117]]"
8049,40533,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15552612.50364226, 4257921.721271634]]"
8050,40535,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15552334.512903588, 4257921.721942224]]"
8051,40536,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15552952.648037696, 4257959.792808026]]"
8052,40539,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15552859.8819629, 4258035.937863028]]"
8053,40542,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15552612.504595807, 4258074.01110489]]"
8054,40543,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15552396.358312469, 4258074.011519284]]"
8055,40544,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15553138.182239125, 4258112.082780499]]"
8056,40550,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15553138.183036666, 4258226.301942413]]"
8057,40553,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15553014.494463203, 4258264.375500338]]"
8058,40556,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15553447.405457867, 4258302.448060154]]"
8059,40559,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15552705.273545232, 4258416.670579226]]"
8060,40561,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15552365.131032288, 4258682.81108443]]"
8061,40562,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15552426.976207644, 4258797.41669425]]"
8062,40924,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15553016.351293694, 4258489.77212491]]"
8063,40925,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15553016.042340629, 4258531.653719783]]"
8064,40926,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15553156.738236895, 4258516.804508087]]"
8065,40927,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15552565.508012565, 4258848.818140507]]"
8066,40928,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15552531.184400411, 4258841.583893167]]"
8067,40929,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15552460.372061484, 4258775.713747694]]"
8068,40930,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15552407.804781107, 4258837.014991473]]"
8069,40931,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15552334.20948902, 4258784.090551214]]"
8070,40932,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15552418.627062198, 4258780.663606012]]"
8071,40933,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15552371.315867111, 4258740.304197251]]"
8072,40934,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15552388.01362636, 4258711.747839818]]"
8073,40935,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15552484.181552146, 4258690.806444983]]"
8074,40936,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15552508.920432447, 4258859.098524939]]"
8075,40937,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15553131.381276056, 4258399.917313223]]"
8076,40938,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15553195.08054542, 4258336.333991564]]"
8077,40941,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15552834.834664915, 4257980.352106479]]"
8078,40943,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15552941.21000046, 4258429.996042202]]"
8079,40944,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15552910.287745224, 4258429.996012864]]"
8080,40945,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15552972.132717872, 4258506.144115973]]"
8081,40946,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15552941.210493995, 4258506.144173716]]"
8082,40950,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15551314.079469163, 4257845.580198646]]"
8083,40951,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15551623.301874427, 4257883.651473902]]"
8084,40954,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15552087.136198195, 4258074.012177885]]"
8085,40956,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15551561.458868764, 4258112.086193194]]"
8086,40959,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15551839.759055015, 4258150.158460228]]"
8087,40960,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15551252.236946912, 4258150.159746462]]"
8088,40964,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15551437.77057961, 4258188.232403673]]"
8089,40965,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15552025.292871222, 4258226.304287469]]"
8090,40970,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15552148.982462943, 4258340.143518334]]"
8091,40971,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15551685.149319192, 4258340.525232768]]"
8092,40973,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15551190.394084053, 4258378.600006448]]"
8093,40977,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15551808.839162607, 4258492.820490814]]"
8094,40978,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15551530.539289659, 4258492.821166401]]"
8095,40979,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15551623.30646624, 4258568.969518925]]"
8096,40986,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15551097.631218974, 4258911.264878185]]"
8097,41060,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15551951.69549379, 4257840.629296859]]"
8098,41062,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15551075.984164039, 4258711.750592074]]"
8099,41386,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15551054.955113787, 4258429.999986225]]"
8100,41388,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15550912.089827456, 4257731.365988259]]"
8101,41391,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15550417.334505526, 4257769.4387256615]]"
8102,41394,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15550386.412487507, 4257807.510415924]]"
8103,41395,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15550479.179409405, 4257845.582049542]]"
8104,41403,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15550602.869075738, 4257959.79809302]]"
8105,41407,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15550448.257928703, 4257959.798388447]]"
8106,41408,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15550448.257928703, 4257959.798388447]]"
8107,41421,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15550355.491775118, 4258035.9434295595]]"
8108,41422,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15550571.947572187, 4258074.015593907]]"
8109,41425,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15550448.25867199, 4258074.015871816]]"
8110,41426,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15550881.173183683, 4258568.590350073]]"
8111,41427,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15550479.185057161, 4258682.814977449]]"
8112,41429,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15551035.786496362, 4258873.189512792]]"
8113,41563,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15550986.925901737, 4258392.306970861]]"
8114,41565,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15550661.624294251, 4258415.151998929]]"
8115,41566,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15550668.42950808, 4258749.8264327645]]"
8116,41767,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15550850.865579892, 4258006.626488631]]"
8117,41768,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15550054.003971592, 4258608.951063899]]"
8118,41769,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15550065.135659082, 4258568.592108168]]"
8119,41770,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15550125.743534775, 4258613.519789872]]"
8120,41771,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15550097.295096232, 4258608.9508932335]]"
8121,41772,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15550031.121161543, 4258565.926867528]]"
8122,41773,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15550813.765457561, 4258950.102633129]]"
8123,41775,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15550993.110951757, 4258468.074108404]]"
8124,41778,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15549427.823596388, 4257845.203874182]]"
8125,41780,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15549304.135933954, 4258035.565260323]]"
8126,41782,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15549737.048392251, 4258225.928584113]]"
8127,41791,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15549365.98393684, 4258568.593663285]]"
8128,41792,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15549737.051017553, 4258606.667293938]]"
8129,41794,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15548902.151234563, 4258682.818600581]]"
8130,41799,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15549396.908063745, 4258835.117609572]]"
8131,41801,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15548716.928147132, 4258835.119160664]]"
8132,41815,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15549809.10112286, 4258785.618815234]]"
8133,41821,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15549449.472527714, 4258352.713810113]]"
8134,41898,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15549326.711923787, 4258453.229000326]]"
8135,41899,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15549493.069933485, 4257908.403222156]]"
8136,41900,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15549275.998182762, 4258261.337933933]]"
8137,41901,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15549359.486060014, 4257936.957712872]]"
8138,41902,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15549478.22647075, 4257780.862456996]]"
8139,41903,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15549296.097522527, 4258255.626814471]]"
8140,41904,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15549376.188322894, 4258569.355134963]]"
8141,41905,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15549397.2162795, 4258687.005619422]]"
8142,41907,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15549352.682078844, 4257763.349787197]]"
8143,41908,b'\x91\xe5\x81iPL\x81\x8615\x81j',"[[15549329.799469553, 4257731.369716719]]"
8144,41909,b'\x91\xe5\x81iPL\x81\x8615\x81j',"[[15549070.984231958, 4258333.297193247]]"
8145,41910,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15549106.54494521, 4258342.434806897]]"
8146,41911,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15549401.854242286, 4258633.320288387]]"
8147,41914,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15548960.901418718, 4258378.985884734]]"
8148,41917,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15548702.081770848, 4258300.174191842]]"
8149,41919,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15547820.176179556, 4257807.136000312]]"
8150,41924,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15547943.866867322, 4258073.641084864]]"
8151,41927,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15547634.644931221, 4258149.787464331]]"
8152,41931,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15548160.324363712, 4258340.152600997]]"
8153,41937,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15548500.4696354, 4258416.299273437]]"
8154,41941,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15548469.54786705, 4258492.447277815]]"
8155,41942,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15547603.725501033, 4258568.597727307]]"
8156,41952,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15547820.182829827, 4258797.045972058]]"
8157,41955,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15548469.55025059, 4258835.119745886]]"
8158,41958,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15547974.794731535, 4258911.271715607]]"
8159,41978,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15548498.305455146, 4258479.121282684]]"
8160,41979,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15547916.962947894, 4257829.598069911]]"
8161,41980,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15547911.708695251, 4258216.795421828]]"
8162,41981,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15548306.8953572, 4258268.574205179]]"
8163,41982,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15548299.473883338, 4258257.152133923]]"
8164,41983,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15548087.964324629, 4258037.091072049]]"
8165,41984,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15548497.373885931, 4257876.4251216585]]"
8166,41985,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15548480.985167395, 4257889.369600108]]"
8167,41986,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15548194.647981983, 4258331.395636408]]"
8168,41987,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15548212.583126606, 4258367.565434484]]"
8169,41988,b'\x92\x86\x81i5\x81\x85PL\x81\x8315\x81j',"[[15548202.6884387, 4258419.345813266]]"
8170,41989,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15548170.529404705, 4258440.286588612]]"
8171,41990,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15548368.743623002, 4258818.747631977]]"
8172,41991,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15547551.469142115, 4258902.896038116]]"
8173,41995,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15547294.498487188, 4257883.280944572]]"
8174,42001,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15546521.444299042, 4258187.86303717]]"
8175,42005,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15547232.657835528, 4258454.375923567]]"
8176,42008,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15547232.658855766, 4258606.673021316]]"
8177,42009,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15546335.91434181, 4258682.824395951]]"
8178,42020,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15546243.148833405, 4258873.200109756]]"
8179,42031,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15546381.06168165, 4258819.513553789]]"
8180,42042,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15547139.892956318, 4258738.031069693]]"
8181,42043,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15546641.73648857, 4258866.345601688]]"
8182,42044,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15546547.109736351, 4258172.633783797]]"
8183,42045,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15547008.780273419, 4258378.228862948]]"
8184,42047,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15546710.997183265, 4258104.4829585375]]"
8185,42051,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15545439.167865293, 4258454.380023352]]"
8186,42053,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15545161.177085228, 4258454.380487986]]"
8187,42055,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15545408.245884757, 4258492.454157399]]"
8188,42056,b'\x8f\xac\x81i0\x81\x85PL\x81\x835\x81j',"[[15545748.392229863, 4258758.975544546]]"
8189,42057,b'\x91\xe5\x81iPL\x81\x8615\x81j',"[[15546119.46012871, 4258911.275923288]]"
