,液状化履歴,geometry
55,1923_土地が陥没した地域,"POLYGON ((15556551.315240204 4239162.444385182, 15556551.316728804 4239447.592243826, 15556899.190717278 4239447.591198604, 15556899.189248007 4239162.443339988, 15556551.315240204 4239162.444385182))"
56,1923_激しい液状化が生じた地点不確定、地域確定可,"POLYGON ((15555855.568751771 4239447.59433427, 15555855.5702783 4239732.612773322, 15556203.4442475 4239732.611728073, 15556203.44274029 4239447.5932890475, 15555855.568751771 4239447.59433427))"
57,1923_激しい液状化が生じた地点不確定、地域確定可,"POLYGON ((15555855.5702783 4239732.612773322, 15555855.57180483 4240017.638618899, 15556203.445754705 4240017.637573623, 15556203.4442475 4239732.611728073, 15555855.5702783 4239732.612773322))"
58,1923_激しい液状化が生じた地点不確定、地域確定可,"POLYGON ((15556203.44274029 4239447.5932890475, 15556203.4442475 4239732.611728073, 15556551.318216689 4239732.610682824, 15556551.316728804 4239447.592243826, 15556203.44274029 4239447.5932890475))"
59,1923_土地が陥没した地域,"POLYGON ((15556551.316728804 4239447.592243826, 15556551.318216689 4239732.610682824, 15556899.192185845 4239732.609637574, 15556899.190717278 4239447.591198604, 15556551.316728804 4239447.592243826))"
60,1923_激しい液状化が生じた地点不確定、地域確定可,"POLYGON ((15556203.4442475 4239732.611728073, 15556203.445754705 4240017.637573623, 15556551.319704575 4240017.636528348, 15556551.318216689 4239732.610682824, 15556203.4442475 4239732.611728073))"
61,1923_土地が陥没した地域,"POLYGON ((15556551.318216689 4239732.610682824, 15556551.319704575 4240017.636528348, 15556899.193654416 4240017.635483071, 15556899.192185845 4239732.609637574, 15556551.318216689 4239732.610682824))"
62,1923_激しい液状化が生じた地域をおおよそ確定可,"POLYGON ((15549245.968767786 4240302.827716956, 15549245.970313633 4240587.868476929, 15549593.844186194 4240587.867621659, 15549593.842717642 4240302.826909213, 15549245.968767786 4240302.827716956))"
63,1923_軽度の液状化が生じた地域をおおよそ確定可,"POLYGON ((15549593.842717642 4240302.826909213, 15549593.844186194 4240587.867621659, 15549941.718058756 4240587.866766379, 15549941.716667486 4240302.826101457, 15549593.842717642 4240302.826909213))"
64,1923_激しい液状化が生じた地域をおおよそ確定可,"POLYGON ((15548898.096441068 4240587.869332199, 15548898.098064207 4240872.917548519, 15549245.971859481 4240872.91664572, 15549245.970313633 4240587.868476929, 15548898.096441068 4240587.869332199))"
65,1923_激しい液状化が生じた地域をおおよそ確定可,"POLYGON ((15548550.224268936 4240872.91845132, 15548550.225970035 4241158.110975094, 15548898.099688003 4241158.110024752, 15548898.098064207 4240872.917548519, 15548550.224268936 4240872.91845132))"
66,1923_激しい液状化が生じた地域をおおよそ確定可,"POLYGON ((15548898.098064207 4240872.917548519, 15548898.099688003 4241158.110024752, 15549245.973405974 4241158.10907441, 15549245.971859481 4240872.91664572, 15548898.098064207 4240872.917548519))"
67,1923_軽度の液状化が生じた地域をおおよそ確定可,"POLYGON ((15549245.970313633 4240587.868476929, 15549245.971859481 4240872.91664572, 15549593.845654748 4240872.915742918, 15549593.844186194 4240587.867621659, 15549245.970313633 4240587.868476929))"
68,1923_軽度の液状化が生じた地域をおおよそ確定可,"POLYGON ((15549593.844186194 4240587.867621659, 15549593.845654748 4240872.915742918, 15549941.719450021 4240872.914840111, 15549941.718058756 4240587.866766379, 15549593.844186194 4240587.867621659))"
69,1923_軽度の液状化が生じた地域をおおよそ確定可,"POLYGON ((15549245.971859481 4240872.91664572, 15549245.973405974 4241158.10907441, 15549593.84712394 4241158.108124068, 15549593.845654748 4240872.915742918, 15549245.971859481 4240872.91664572))"
70,1923_軽度の液状化が生じた地域をおおよそ確定可,"POLYGON ((15549593.845654748 4240872.915742918, 15549593.84712394 4241158.108124068, 15549941.72084192 4241158.107173723, 15549941.719450021 4240872.914840111, 15549593.845654748 4240872.915742918))"
71,1923_軽度の液状化が生じた地域をおおよそ確定可,"POLYGON ((15549941.715275515 4240017.656008489, 15549941.716667486 4240302.826101457, 15550289.59046275 4240302.825151182, 15550289.58907078 4240017.6550582405, 15549941.715275515 4240017.656008489))"
72,1923_軽度の液状化が生じた地域をおおよそ確定可,"POLYGON ((15549941.716667486 4240302.826101457, 15549941.718058756 4240587.866766379, 15550289.591854017 4240587.865816078, 15550289.59046275 4240302.825151182, 15549941.716667486 4240302.826101457))"
73,1923_土地が陥没した地域,"POLYGON ((15555855.57180483 4240017.638618899, 15555855.573274108 4240302.808711398, 15556203.447223976 4240302.807666095, 15556203.445754705 4240017.637573623, 15555855.57180483 4240017.638618899))"
74,1923_土地が陥没した地域,"POLYGON ((15555855.573274108 4240302.808711398, 15555855.574742673 4240587.849375866, 15556203.448692545 4240587.848330537, 15556203.447223976 4240302.807666095, 15555855.573274108 4240302.808711398))"
75,1923_土地が陥没した地域,"POLYGON ((15556203.445754705 4240017.637573623, 15556203.447223976 4240302.807666095, 15556551.321173847 4240302.806620791, 15556551.319704575 4240017.636528348, 15556203.445754705 4240017.637573623))"
